iter	Logloss
0	0.6926626494
1	0.6923982152
2	0.6918881329
3	0.6914984459
4	0.6910965542
5	0.6907102974
6	0.6903383316
7	0.6899040031
8	0.6895418238
9	0.6891964593
10	0.6887891923
11	0.688615171
12	0.6883893875
13	0.6880794786
14	0.6876997833
15	0.6874186897
16	0.6870728685
17	0.686704789
18	0.6864188751
19	0.6861047734
20	0.6858386989
21	0.6856338881
22	0.6853167576
23	0.6850175826
24	0.6847980722
25	0.684499264
26	0.68429273
27	0.6840164306
28	0.6837506975
29	0.68350038
30	0.6833205741
31	0.6830853348
32	0.6828603997
33	0.6825244969
34	0.6822013585
35	0.681940441
36	0.6816561819
37	0.6814819238
38	0.6811563714
39	0.6810138429
40	0.68074216
41	0.6804994934
42	0.6802895343
43	0.6800685917
44	0.6799500076
45	0.6797998069
46	0.6796443616
47	0.6793234581
48	0.6790528174
49	0.6788121092
50	0.6785904039
51	0.6782839641
52	0.6779619572
53	0.677822131
54	0.6774510976
55	0.6772214827
56	0.676994562
57	0.6767926729
58	0.6765456445
59	0.6764158513
60	0.6760932559
61	0.6758097292
62	0.6755508037
63	0.6754021989
64	0.6751791619
65	0.6750221404
66	0.6748464877
67	0.6745505367
68	0.674399113
69	0.6740141249
70	0.6738354043
71	0.673656954
72	0.6734314654
73	0.6731801731
74	0.6730323117
75	0.6728181053
76	0.6727137712
77	0.6725428308
78	0.6723321374
79	0.6721274385
80	0.671938242
81	0.6716613465
82	0.6715231724
83	0.6713289503
84	0.6710961389
85	0.6709642385
86	0.6707500701
87	0.6706444992
88	0.6705295334
89	0.6703013486
90	0.6700416451
91	0.6698925313
92	0.6697184127
93	0.6694984094
94	0.6692896868
95	0.6691484487
96	0.6689394227
97	0.6686746375
98	0.6684264868
99	0.6683188875
100	0.6680778124
101	0.6679792896
102	0.6677626207
103	0.6676275882
104	0.6674634673
105	0.6673072361
106	0.6670754494
107	0.6667857483
108	0.6665471796
109	0.66636422
110	0.6661781082
111	0.6660566172
112	0.6658261035
113	0.6656736978
114	0.6654903136
115	0.6653327458
116	0.6651278039
117	0.664927361
118	0.6647069355
119	0.6644184406
120	0.664240102
121	0.6639994733
122	0.6638335038
123	0.6636372662
124	0.6634728653
125	0.6633009245
126	0.6631550922
127	0.6629057627
128	0.6626776344
129	0.6624551181
130	0.6622563548
131	0.6621352506
132	0.6619589875
133	0.6618025386
134	0.6615579539
135	0.6614251609
136	0.6613034536
137	0.661222406
138	0.6610825152
139	0.6608515942
140	0.6606578381
141	0.660426054
142	0.6602699887
143	0.6601254545
144	0.659977544
145	0.6598075627
146	0.6596375031
147	0.6595294823
148	0.659339593
149	0.6592304134
150	0.6590337755
151	0.6588902589
152	0.6586602954
153	0.6585657422
154	0.6583243256
155	0.6582291502
156	0.65804659
157	0.6578774808
158	0.6577368003
159	0.6575601206
160	0.6574068748
161	0.6572246453
162	0.6571011884
163	0.6569169054
164	0.6567088343
165	0.6564775896
166	0.6563204269
167	0.6560944801
168	0.6559377046
169	0.6558095983
170	0.6556606111
171	0.6554084212
172	0.655248686
173	0.6550802654
174	0.6549213826
175	0.6547091742
176	0.654468196
177	0.6543503906
178	0.6541510124
179	0.6540714006
180	0.653833803
181	0.6536730732
182	0.6535878
183	0.6534977648
184	0.6533718318
185	0.6532474776
186	0.6530922861
187	0.652888576
188	0.652754102
189	0.6525671612
190	0.6524135392
191	0.6522237442
192	0.6520754654
193	0.6518445125
194	0.6515766032
195	0.6514404298
196	0.651309657
197	0.6512042942
198	0.6510220263
199	0.6508351137
